dataset,sample_id,source_id,label,dataset_revision,selection_key_sha256,selection_rank,manifest_version,selection_seed,selection_method,source_input_csv_sha256,h2b_stage,h2b_manifest_version
DeepVoice,DEEPVOICE_REAL_biden-original_frag76,DEEPVOICE_REAL_biden-original_frag76,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,049a6869a0dd29f20c45c45e2aa0f0628a9296f20d7f40a27217ddb5757bbf15,11,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag16,DEEPVOICE_REAL_musk-original_frag16,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,052dfa7bb360d953a3ed5d822f1206dab803fbb4dccff36a0ebbe469ce6d1307,12,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag29,DEEPVOICE_REAL_musk-original_frag29,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,05c1065c3efb686f25cebce14d5928bf579745195f8ae600f1f02c968bdedfae,13,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_taylor-original_frag67,DEEPVOICE_REAL_taylor-original_frag67,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,05e41333e2fb29326a0ea3fe331973c11f5aa1e321c547f2012a09d4a2c0190d,14,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_biden-original_frag14,DEEPVOICE_REAL_biden-original_frag14,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,066bf6450c8a217f1cc2e5e454be1ab2a2929a34e4a0df3c8e4e7f8ec9f3462d,15,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_obama-original_frag64,DEEPVOICE_REAL_obama-original_frag64,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,06ead616d20b4d99a8e0f17d793214eaa567982f1a9936173379ae245f96acec,16,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag5,DEEPVOICE_REAL_linus-original_frag5,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,072d5c206f522eb7a91454d5cb1a9ac935605e281445abe82005ff4da8d6988c,17,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_obama-original_frag74,DEEPVOICE_REAL_obama-original_frag74,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,073f460543a56b43bd2f7c53e7ea3e287708987204c0771e2bdeb184c3268271,18,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag61,DEEPVOICE_REAL_linus-original_frag61,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,07b02461d793fa195f1488e21ec55e525073e286e9725d42821c069e91adad9e,19,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag28,DEEPVOICE_REAL_linus-original_frag28,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,07c715a4ba40c00ffa092d1c9c3550033a555f9f8675cbf639ea622476af019e,20,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag53,DEEPVOICE_REAL_linus-original_frag53,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0812d795e14cc04a3068f1b96a99f2fba77dffa9b1b8f83c351060d1238ee35f,21,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_biden-original_frag55,DEEPVOICE_REAL_biden-original_frag55,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,087aee9ed0b399b8a0ffe786361d523966728324d12882cd806c017ac1824829,22,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag88,DEEPVOICE_REAL_linus-original_frag88,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,08cd28c32f70750deedc3f11ff0961b4d7f5c88f93f0cc7c723bbbf383f441db,23,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_trump-original_frag22,DEEPVOICE_REAL_trump-original_frag22,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,08dcfc8538297b635c838863263a3c7f63132b85da190a67959db5d771a8235a,24,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_obama-original_frag82,DEEPVOICE_REAL_obama-original_frag82,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,08dec3f52f89a4d5dd721e38ab3fa2ec3aa636b849b1b2692de4e8c705e92145,25,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_biden-original_frag41,DEEPVOICE_REAL_biden-original_frag41,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,08f34c5ba0ca3f20fb53090b995c7e18b9cf9a4e67e047785717a2216612eb58,26,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag35,DEEPVOICE_REAL_linus-original_frag35,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,09ac8888096ef6d65d254d6877925043a97013733712112a615f7fafe368ec78,27,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_obama-original_frag77,DEEPVOICE_REAL_obama-original_frag77,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0a7e97cd9662cb33cae6a3732bd6b9ee4f5efc246df07a58f7f7a19d83ab220f,28,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag17,DEEPVOICE_REAL_musk-original_frag17,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0acfdbc33eb5f7013184e52f1ba2bd91d8efc12c3f3f8c5ffc3034db7a8a988e,29,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag85,DEEPVOICE_REAL_musk-original_frag85,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0ad54d9e2ea0568dd3ad9964f9f41fe78f9b0ac2b1345f5a79574d0b6663288e,30,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_trump-original_frag96,DEEPVOICE_REAL_trump-original_frag96,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0af7b34bf780086b0de2eb79f399bd084900b7dfed440655dba2dbff2e475fde,31,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_trump-original_frag7,DEEPVOICE_REAL_trump-original_frag7,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0b0c63b699ba5b35dd1d42df7459f15730e82e30d15262c35daa07e372cdcf21,32,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag83,DEEPVOICE_REAL_linus-original_frag83,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0b35a18f5cd1e976620e092fa035449de88a62658bc8b5b541113e47725a86aa,33,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag24,DEEPVOICE_REAL_musk-original_frag24,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0b611994e3570314739dd704e3ed50c444800c857b6a1e92116135051676b305,34,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag41,DEEPVOICE_REAL_linus-original_frag41,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0b8b8f76c5a2a4ad8833d1e1486918d152aaeb89ccee42f596a5d0b25b5e27fe,35,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag52,DEEPVOICE_REAL_musk-original_frag52,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0d16d6628a27ca56d6689df853eb216e1eda6eaa057fe5bab0a5dc0a4a73a821,36,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag58,DEEPVOICE_REAL_musk-original_frag58,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0d9d1511a03d2b0dd0b749acb0b06002de6b40f21d86612149c2c380619a50b5,37,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_trump-original_frag31,DEEPVOICE_REAL_trump-original_frag31,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0dd160fee469fb3706b446ef9de0cebfe2fb5aca9a9b1250342d06f93716f2d9,38,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_biden-original_frag1,DEEPVOICE_REAL_biden-original_frag1,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0e515ca567d00c5bbac35e1fcb165c5be58d26cf029f3fc2b5abedf702290528,39,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_biden-original_frag99,DEEPVOICE_REAL_biden-original_frag99,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0ed0bcdda9e44bdef8f4148394117ca58e30dca66e967173f991bb54cb8fde96,40,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_biden-original_frag71,DEEPVOICE_REAL_biden-original_frag71,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0f1ee5098023ed48ceedb1b37ae7a757a7ead6362be7ed73868e2377a8316b11,41,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_taylor-original_frag62,DEEPVOICE_REAL_taylor-original_frag62,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0f2e7f62dbcb13a2333ab6c634f76c9ec7f0c63db362df15546e2d918de9a7f6,42,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_biden-original_frag61,DEEPVOICE_REAL_biden-original_frag61,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,0fec6224215cd276f2eb5710ff3721dd0059ee96981c5b3c42a235117be1b4b0,43,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_biden-original_frag98,DEEPVOICE_REAL_biden-original_frag98,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,106e25b3ee23fc47c9cab331740db45d7afc09dfc9d553a8c165a7d85ba1886f,44,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag18,DEEPVOICE_REAL_linus-original_frag18,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,111a69115a7c4d2222ee92341a1a412164ea6c29e0b39a6b4f42774ba11fac39,45,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_trump-original_frag64,DEEPVOICE_REAL_trump-original_frag64,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,1138b95431d665fe28012569f6996e468a335306f7e23c49e58be8b23ff2ac24,46,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag48,DEEPVOICE_REAL_linus-original_frag48,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,13201fc96ce48d22e20af40a1fa1e1fad522c6b812415b698cb0078438abf5af,47,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_biden-original_frag33,DEEPVOICE_REAL_biden-original_frag33,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,144c7ebb21fae9586cb87178f4d4a68566e8ff6b01cc717f02cfe102e3ae28b1,48,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag2,DEEPVOICE_REAL_musk-original_frag2,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,152bffe56ea6ea46200ad475e15eb8945197325984c6fa5d099db97787f04bdd,49,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_biden-original_frag88,DEEPVOICE_REAL_biden-original_frag88,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,158df5328205e27aa907855dbfcca9397315b3bb3be5bc3dafbb4cbe5a44bc58,50,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag32,DEEPVOICE_REAL_musk-original_frag32,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,15b647654abc94dd3774014266dc956f3d5fa2c384f867ba8d16afe072634218,51,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_musk-original_frag45,DEEPVOICE_REAL_musk-original_frag45,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,15cf937fb5c2442930fc2cafb7ddd36122e22a1a60c078e2c412846fd584cb35,52,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_linus-original_frag55,DEEPVOICE_REAL_linus-original_frag55,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,160382ea49de40719df18c5ab345e8e5a029d49ee5a98494e826a3abe6f26a6b,53,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
DeepVoice,DEEPVOICE_REAL_trump-original_frag18,DEEPVOICE_REAL_trump-original_frag18,0,cc3bdf544cfc09bd9cc788f7f022ba1af9daf701,16665d252126bee270228210fc64f6e0918472f853addbe2efc2fbfab3253b34,54,h2_pre_score_pairs_v1,2609,"sha256(seed,dataset,label,sample_id)_within_dataset_label",f11f24aa9fee5f4a737c4aad553d9a2f2ddc92a83a4e9f8d054c7ab8d4d5065d,q0_frozen_score_blind,h2b_q0_score_blind_manifest_v1
