# Human listening audit sheet -- 60 clips, generated by scripts/make_listening_sheet.py --n 60 --seed 0
# Roughly 60 minutes at ~15s of audio per clip plus listen/replay/type overhead. See data/listening/PROTOCOL.md.
# Do not open data/listening/listening_key.csv before finishing this sheet -- it contains the answer.
row_id,clip,target_word,human_count,unclear
L033,clips/xtts2__wr_blue_t4_k01__s0.opus,blue,,
L034,clips/llasa3b__wr_far_t3_k03__s2.opus,far,,
L035,clips/llasa3b__wr_really_t6_k04__s2.opus,really,,
L036,clips/llasa1b__wr_blue_t4_k06__s0.opus,blue,,
L037,clips/llasa8b__wr_far_t3_k12__s1.opus,far,,
L038,clips/llasa3b__wr_no_t2_k08__s1.opus,no,,
L039,clips/qwen17b__wr_very_t1_k24__s2.opus,very,,
L040,clips/qwen06b__wr_quick_t5_k04__s1.opus,quick,,
L041,clips/llasa1b__wr_blue_t4_k16__s0.opus,blue,,
L042,clips/qwen17b__ct_blue_t4_k16__s0.opus,green / bright / pale / dim / warm / cold / sharp / soft / green / bright / pale / dim / warm / cold / sharp / soft,,
L043,clips/qwen06b__ct_blue_t4_k08__s0.opus,green / bright / pale / dim / warm / cold / sharp / soft,,
L044,clips/xtts2__ct_no_t2_k04__s0.opus,yes / maybe / sure / fine,,
L045,clips/llasa3b__ct_no_t2_k04__s0.opus,yes / maybe / sure / fine,,
L046,clips/qwen17b__wr_blue_t4_k16__s0.opus,blue,,
L047,clips/llasa8b__ct_blue_t4_k16__s0.opus,green / bright / pale / dim / warm / cold / sharp / soft / green / bright / pale / dim / warm / cold / sharp / soft,,
L048,clips/qwen17b__ct_blue_t4_k02__s0.opus,green / bright,,
L049,clips/xtts2__wr_blue_t4_k08__s2.opus,blue,,
L050,clips/xtts2__wr_blue_t4_k16__s1.opus,blue,,
L051,clips/llasa1b__ct_blue_t4_k16__s0.opus,green / bright / pale / dim / warm / cold / sharp / soft / green / bright / pale / dim / warm / cold / sharp / soft,,
L052,clips/llasa1b__ct_blue_t4_k03__s2.opus,green / bright / pale,,
L053,clips/qwen06b__wr_really_t6_k24__s2.opus,really,,
L054,clips/xtts2__ct_far_t3_k12__s2.opus,deep / fast / long / wide / high / low / near / past / deep / fast / long / wide,,
L055,clips/qwen06b__wr_very_t1_k24__s1.opus,very,,
L056,clips/llasa1b__wr_far_t3_k01__s0.opus,far,,
L057,clips/llasa3b__ct_blue_t4_k12__s0.opus,green / bright / pale / dim / warm / cold / sharp / soft / green / bright / pale / dim,,
L058,clips/llasa8b__ct_blue_t4_k08__s0.opus,green / bright / pale / dim / warm / cold / sharp / soft,,
L059,clips/llasa1b__wr_blue_t4_k01__s1.opus,blue,,
L060,clips/llasa3b__ct_blue_t4_k06__s1.opus,green / bright / pale / dim / warm / cold,,
